i value
1 0.834286296441132
2 0.852948826730098
3 0.8458065711627112
4 0.8564423957566769
5 0.8428896103896103
6 0.860120250296952
7 0.8305859667144233
8 0.8434520001561799
9 0.8670506912442395
10 0.860126910519412
11 0.8362242332830567
12 0.842001507264665
13 0.8452702095741145
14 0.8523446278269722
15 0.8459969278352775
16 0.8446739747939976
17 0.8468748064853365
18 0.8486538486538486
19 0.8553821509130403
20 0.8648484156871694
21 0.8427347925199761
22 0.8386297389187561
23 0.8575062356695791
24 0.8634086653047326
25 0.8538274366082774
26 0.8516134139084959
27 0.8755473563443363
28 0.8402137801531129
29 0.8397608502665665
30 0.8587242491933481
31 0.8555455585891177
32 0.8491717389177544
33 0.8485539246833567
34 0.8622693470805849
35 0.8842283640105457
36 0.8430505852200924
37 0.8303941942862733
38 0.8761729261729262
39 0.8351656476140967
40 0.8461540159237366
41 0.8345388352237667
42 0.8579866997303357
43 0.8069523560608797
44 0.8466285771997027
45 0.8604886907094038
46 0.8387389469122346
47 0.8463192191109509
48 0.8799809033414606
49 0.8578831796223099
50 0.8630222036815443
51 0.8533417834352239
52 0.8563383978477305
53 0.843104618057537
54 0.870169205533053
55 0.8535306814677767
56 0.856905884407194
57 0.8517908012222541
58 0.8522328670262176
