i value
5 438.89097106110665
6 439.0127989956174
7 438.46434683538155
8 437.7681415150397
9 437.7370157767532
10 438.0591747401989
11 439.1624103743169
12 440.51092875079064
13 442.4652256997574
14 442.85857947325803
15 442.401493755565
16 442.231467950749
17 442.40592786262266
18 441.3125009083906
19 442.57577823965886
20 442.9604513984186
21 442.73282676649796
22 442.07576132474844
23 441.98172627434906
24 441.3978077947246
25 442.1663108656212
26 441.61543824548954
27 440.969900768802
28 440.6561598585746
29 440.03538012531806
30 439.7773556597318
31 440.3863860932096
32 441.89775196695626
33 442.2900753175524
34 442.50210958389596
35 442.47184875454116
36 442.67554803858354
37 441.6842225217836
38 441.7721695019791
39 441.996882791702
40 441.78780826137364
41 441.32036702178493
42 442.31121590371004
43 442.9270972768938
44 442.14806026100143
45 442.55100479657176
46 442.6780012356756
47 441.9838736492808
48 442.1108656437339
49 442.8907860012481
50 442.40824843101274
51 442.1442275625576
52 442.09545455993094
53 441.77505728804374
54 441.9786710182261
55 441.2960207412633
56 441.42822946451804
57 441.23833819749314
58 441.5850280812324
