i value
5 64.71305517261128
6 64.71305517261128
7 64.71305517261128
8 64.71305517261128
9 64.71305517261128
10 25.757692960202377
11 25.757692960202377
12 25.757692960202377
13 25.757692960202377
14 25.757692960202377
15 2.35821657673912
16 2.3134791668131567
17 2.2570599853578797
18 2.21161669366549
19 2.187866563424029
20 2.1703824568069146
21 2.1735956443633713
22 2.15894665890826
23 2.1478000565315076
24 2.1371907577905396
25 2.158728405805126
26 2.1662254244218695
27 2.1439044159289997
28 2.161159597170745
29 2.152636265216432
30 2.138521202335732
31 2.1562692185092067
32 2.196389365275036
33 2.302548859838492
34 2.306412537707753
35 2.3571086703838575
36 2.3700197002654155
37 2.4024786908623885
38 2.2770247649008324
39 2.2743288859310358
40 2.204751370152201
41 2.1807925670921366
42 2.141083037943756
43 2.1358668165286563
44 2.1337645700193084
45 2.2546629077947387
46 2.3557648264412236
47 2.3729114451145437
48 2.4345496548303687
49 2.4226524731686534
50 2.3397965078047855
51 2.346247162334635
52 2.351845122770726
53 2.327924329937914
54 2.345984456620416
55 2.409830350459448
56 2.338085236654609
57 2.368853799669689
58 2.3652905615164186
59 2.4447767130545763
