i value
2 192.75639132655832
3 197.61671687649573
4 195.57314170944045
5 192.89056274606926
6 191.4348151778304
7 185.59617360658632
8 188.17497617219192
9 200.26474881339493
10 200.76451976377564
11 191.57972345722388
12 192.52555238463873
13 193.94943927863375
14 192.36817486866823
15 190.01392895638372
16 192.97520466317198
17 192.86071769570214
18 189.62645078836985
19 191.45492236660334
20 192.96457735409746
21 192.55199002503156
22 191.6105268383832
23 192.74028574309676
24 193.3018478627215
25 192.1856589684075
26 192.0209133664189
27 191.7551845934369
28 189.31042897922106
29 191.13794095652332
30 195.90890718335118
31 194.99686740304247
32 195.01396669922636
33 195.58883978462646
34 191.16345014147453
35 192.60251297321446
36 194.08679764746444
37 191.70290938976487
38 193.1282028030078
39 191.45083650844143
40 189.0901721248887
41 190.8701485557915
42 190.6493349688027
43 190.4913394870727
44 192.5399348585367
45 191.94262693550536
46 191.5822401384334
47 190.53870410877803
48 191.89721633243124
49 193.309428701896
50 194.08715897676967
51 193.25527850659057
52 189.6963721553838
53 189.15288326152927
54 189.36847716484135
55 192.11478943975368
56 193.11112082599647
57 195.1686663489528
58 197.14229108809306
59 194.2796312201308
60 190.76692831073137
