i value
1 192.7444364308943
2 192.76834622222233
3 202.46508753076913
4 188.68119588811177
5 197.09992960402676
6 185.76970075163402
7 185.42264646153862
8 190.92730588284525
9 209.60219174394464
10 191.92684778360666
11 191.2325991308411
12 193.8185056384364
13 194.0803729188311
14 190.65597681850534
15 189.37188109426214
16 196.57852823208182
17 189.14290715932248
18 190.10999441741723
19 192.79985031578943
20 193.1293043924055
21 191.97467565765763
22 191.2463780191088
23 194.23419346708474
24 192.36950225835824
25 192.00181567845672
26 192.0400110543811
27 191.4703581324927
28 187.1504998259494
29 195.12538208709728
30 196.6924322796051
31 193.30130252647982
32 196.7266308719729
33 194.45104869728002
34 187.875851585669
35 197.32917436075994
36 190.84442093416897
37 192.56139784536077
38 193.69500776065482
39 189.20666525622804
40 188.97367899354938
41 192.76661811803362
42 188.53205181957173
43 192.4506271545737
44 192.6292425624997
45 191.256011308511
46 191.9084689683558
47 189.16893924920026
48 194.62549341566222
49 191.99336398812977
50 196.1809539654096
51 190.32960304777157
52 189.06314126299608
53 189.24262526006245
54 189.49432906962022
55 194.73524980988714
56 191.4869918421058
57 198.8503408557998
58 195.43424132038632
59 193.12502111987524
60 188.40883550158748
