i value
5 440.4562789682017
6 440.0128301986253
7 438.85082248217077
8 438.6823942778163
9 438.2239362708436
10 438.98294281410335
11 439.3279054183875
12 440.7962794973191
13 442.32656596520303
14 443.50911780275175
15 443.8178214297259
16 444.5087517180764
17 444.06461786091097
18 443.56779097572996
19 443.34812585344196
20 443.4295973329739
21 443.39994968657993
22 443.0904166297408
23 442.68689847233856
24 442.2051085966692
25 441.5188872919207
26 440.2514248155941
27 440.8225245951209
28 441.041149312211
29 441.103456653741
30 441.0154358768194
31 441.58040780393975
