i value
1 0.8666666666666667
2 0.8666666666666667
3 0.9333333333333333
4 0.7555555555555555
5 0.7555555555555555
6 0.8420634920634921
7 0.8535714285714286
8 0.8865384615384616
9 0.8865384615384616
10 0.9115384615384615
11 0.95
12 1.0
13 1.0
14 1.0
15 0.9642857142857143
16 0.9188311688311689
17 0.9188311688311689
18 0.9545454545454546
19 1.0
20 0.9642857142857143
21 0.9642857142857143
22 0.96875
23 0.96875
24 1.0
25 1.0
26 1.0
27 1.0
28 1.0
29 1.0
30 1.0
31 1.0
32 0.9285714285714286
33 0.9285714285714286
34 1.0
35 1.0
36 0.95
37 0.95
38 0.9642857142857143
39 0.8928571428571429
40 0.8928571428571429
41 0.9642857142857143
42 0.9642857142857143
43 1.0
44 1.0
45 1.0
46 0.9375
47 0.9375
48 0.9375
49 0.9375
50 1.0
51 1.0
52 0.96875
53 0.9375
54 0.9375
55 0.9642857142857143
56 0.9642857142857143
57 1.0
58 1.0
59 1.0
60 1.0
61 1.0
62 1.0
63 1.0
64 1.0
65 1.0
66 1.0
67 1.0
68 1.0
69 1.0
70 1.0
71 1.0
72 1.0
73 0.9642857142857143
74 0.9642857142857143
75 0.9642857142857143
76 1.0
77 1.0
78 0.95
79 0.8785714285714286
80 0.9285714285714286
81 0.9285714285714286
82 1.0
83 1.0
84 1.0
85 1.0
86 0.9772727272727273
87 0.9772727272727273
88 1.0
89 1.0
90 1.0
91 0.925
92 0.8972222222222221
93 0.9722222222222222
94 1.0
95 1.0
96 1.0
97 1.0
98 1.0
99 1.0
100 1.0
101 1.0
102 1.0
103 1.0
104 1.0
105 0.9977777777777778
106 0.9917777777777778
