i value
1 94.97780430370369
2 98.81851909523809
3 73.5256236
4 73.68046663333331
5 106.09390774444442
6 81.40628315647804
7 82.74480481565263
8 78.87282294898597
9 49.94845202630146
10 39.45592099835799
11 13.493906166666676
12 7.609196874999999
13 7.595637846153846
14 9.28564903030303
15 7.4503025161290415
16 7.646554742857144
17 7.494717677419361
18 7.7121324285714365
19 7.379031640000007
20 6.4883080909091
21 8.365696640000005
22 6.852503000000005
23 7.532274529411783
24 5.875992538461531
25 7.016732107142867
26 7.07518088571428
27 6.058935891891885
28 7.243648000000007
29 7.039349750000006
30 7.272531636363624
31 7.742714470588252
32 8.348093303030323
33 6.278417833333334
34 6.862963677419364
35 6.327219675675654
36 6.445802166666681
37 7.033319410256377
38 6.00310300000001
39 6.234165374999961
40 6.122406343750008
41 6.431851228571421
42 5.825388000000025
43 8.063912939393903
44 6.277332243243281
45 5.351513219512155
46 5.9536162500000005
47 5.729640699999999
48 7.3074181785714325
