i value
1 81.7173216830808
2 81.29519949617602
3 78.84293447070394
4 79.81068041118013
5 89.62654439682535
6 48.32297564459534
7 49.26206056494072
8 42.28336797430172
9 40.419337160309325
10 46.207805367251076
11 8.979804178082192
12 6.6006463130434785
13 6.270141224489797
14 6.1769683660714305
15 5.782017990825687
16 6.4497570500000005
17 5.903609020202024
18 5.598942481481485
19 6.1045420412371225
20 5.918224908163255
21 5.370602745614042
22 5.57310220754717
23 5.959273531250003
24 5.740488378378384
