i value
5 225.37426577000002
6 225.6736633500001
7 222.7069866428572
8 220.8498363028572
9 214.42965108000007
10 218.05876500000005
11 211.68057747142856
12 202.86889178571434
13 202.97978665714288
14 203.01944022857145
15 198.8970465428571
16 199.3418632047619
17 199.67970618095225
18 200.9399731095237
19 202.8274856142857
20 204.20287160000032
21 204.72562433333383
22 205.7931104666672
23 203.85403536666746
24 202.7821443190483
25 202.32255891904816
26 201.4077191301591
27 199.6846622634925
28 200.57757619682562
29 200.4917786253969
30 199.91203780539686
31 199.77396369428578
32 200.13352124428565
33 198.72848374428574
34 198.24906749666667
35 197.20380139444427
36 197.82516327777745
37 197.27366738162385
38 197.28894656495714
39 197.89399584829084
40 199.1178954955132
41 201.45027604551314
42 201.2980041583334
43 201.72004119621232
44 200.74016017954517
45 200.59571642954535
46 198.14531849877628
47 198.95634708210952
48 199.40296560756408
49 200.50811094089727
50 200.1328096881196
51 200.45140200222224
52 200.3623896922226
53 199.6697625955557
54 202.2500898016164
55 201.3348148238386
56 200.067569909736
57 200.5317822447359
58 200.90764268140293
59 200.69978934200907
60 201.29768577756454
61 201.4187811940481
62 200.1201849634931
63 200.39010275258326
64 196.73680179924992
65 196.80233589702723
66 199.83423102242423
67 199.69433104464596
