i value
1 226.80711659999997
2 258.18718724999997
3 210.16178320000017
4 230.24340839999985
5 201.4718334000001
6 228.30410450000045
7 243.35380371428542
8 200.87603150000018
9 198.14248228571418
10 219.61740299999988
11 196.41316685714315
12 199.29537528571433
13 201.4305058571429
14 198.3407501428571
15 199.00543457142808
16 198.6372501666671
17 200.98459016666615
18 207.73184049999995
19 207.77831266666726
20 205.88236450000113
21 201.25101383333458
22 206.32202083333323
23 198.03646500000104
24 202.4188574285716
25 203.5844375000003
26 196.67681488888937
27 197.70673650000026
28 202.50103466666647
29 201.9898695714281
30 200.68573340000003
31 195.98644433333416
32 199.50452424999943
33 195.47584716666702
34 199.59278833333278
35 195.45940288888798
36 199.09325374999995
37 196.7470447692316
38 195.55224308333345
39 202.61803475000124
40 201.5789011249999
41 210.75515649999943
42 195.9856853333331
43 197.662428272728
44 197.71862966666555
45 200.85668237500067
46 198.50316684615413
47 200.04082824999932
48 199.8955209000007
49 203.24435633333147
50 198.98017611111248
51 200.09612841666726
52 199.59576670000098
53 196.43238541666628
54 216.1459923636351
55 194.40380122222348
56 193.75990384615412
57 201.91682837500048
58 198.31168760000145
59 215.10672566666594
60 197.39328340000066
61 194.36538092857205
62 195.42384722222536
63 199.66127654545232
64 196.84022089999925
65 197.72095388888718
66 209.52485655555697
67 194.72434733333407
