i value
5 1.0
6 1.0
7 1.0
8 1.0
9 1.0
10 1.0
11 1.0
12 0.975
13 0.9416666666666667
14 0.9416666666666667
15 0.9416666666666667
16 0.9416666666666667
17 0.9666666666666666
18 1.0
19 1.0
20 1.0
21 1.0
22 1.0
23 1.0
24 1.0
25 1.0
26 1.0
27 0.96
28 0.96
29 0.96
30 0.96
31 0.96
32 1.0
33 1.0
34 1.0
35 1.0
36 1.0
37 1.0
38 1.0
39 1.0
40 1.0
41 1.0
42 1.0
43 0.9818181818181818
44 0.9818181818181818
45 0.9818181818181818
46 0.9818181818181818
47 0.9818181818181818
48 1.0
49 1.0
50 1.0
51 1.0
52 1.0
53 1.0
54 1.0
55 1.0
56 1.0
57 1.0
58 1.0
59 0.9857142857142858
60 0.9857142857142858
61 0.9857142857142858
62 0.9857142857142858
63 0.9857142857142858
64 0.9846153846153847
65 0.9846153846153847
