i value
1 468.780653
2 508.5316877500004
3 460.4331875000001
4 477.99852985714307
5 457.7648838000001
6 467.73190625000007
7 454.76617885714273
8 452.45897057142844
9 458.13645866666656
10 475.0096967142859
11 450.88551799999965
12 456.23861942857184
13 449.18633319999935
14 449.4146358750004
15 455.66622642857175
16 469.2339100000002
17 461.1148419999983
18 452.870479166669
19 460.46011800000025
20 475.4708332000009
21 454.81786357142846
22 456.08145849999954
23 458.0647921666653
24 458.5393694285719
25 460.2401951666664
26 455.70648360000195
27 465.45066699999734
28 455.8807384285714
29 456.82417349999986
30 454.3030693333324
31 457.66960458333295
32 451.43413900000087
33 453.8426946666659
34 451.7013888888905
35 454.3619619166663
36 454.9729343333335
37 453.31742016666493
38 456.6734203333326
39 454.2270317500006
40 458.6329076666637
41 457.7032138750001
42 455.4076555454548
43 456.6221668999962
44 458.3536022222219
45 455.3042843636358
46 451.84181977778076
47 453.2728666999989
48 456.0396198749986
49 456.95360937499936
50 453.85721270000215
51 456.40863466667037
52 453.1544522307679
53 464.3485988181836
54 452.6697629000002
55 456.8530160000046
56 458.0973473333288
57 460.9455489166624
58 457.1774921000004
59 454.2165418461574
60 453.60298177777116
61 462.62360040000056
62 455.4591617499973
63 452.8845960000006
64 455.3216149166692
65 452.61081809090683
