i value
5 257.33965592000004
6 243.38745522
7 248.46732265333327
8 247.9433977333333
9 248.48316488333322
10 265.87643876333317
11 275.46272286333317
12 261.36748882999984
13 262.6783454499998
14 254.83535173333325
15 242.87662119999996
16 242.8271923800001
17 243.68306723000006
18 253.7639866633332
19 258.27650049666664
20 246.12987882999988
21 236.07017224999987
22 233.84542849999994
23 227.26034404666672
24 223.93685013999993
25 226.14145793999964
26 227.36039787999954
27 225.76341623999969
28 219.64945065999956
29 234.76586905999937
30 232.97293285999982
31 232.17544449999968
32 221.64969613999983
33 234.5790884800002
34 217.37019322000046
35 216.8132960200002
36 216.3172339400002
37 228.59605570000002
38 230.34630436000006
39 230.70838798
40 232.36605018000054
41 232.97187230000077
42 234.5264867900005
43 221.06853809
44 222.36774672000055
