i value
1 273.41613550000005
2 324.3011775000001
3 212.55742499999997
4 242.78375800000012
5 233.63978360000002
6 203.65513199999987
7 349.7005146666664
8 209.93780040000019
9 245.48259374999952
10 320.606153
11 251.58655249999993
12 279.22434449999946
13 216.49208350000026
14 206.26762516666653
15 260.81250033333345
16 251.33940840000068
17 283.5037187499993
18 266.8966806666661
19 228.83019433333357
20 200.07939199999964
21 201.04087550000077
22 272.37999999999954
23 233.97125840000007
24 212.2127247999997
25 211.10243099999812
26 207.13557520000032
27 264.3950918000002
28 203.40143049999946
29 287.7948167999988
30 202.13775000000024
31 203.14813339999964
32 211.76635000000095
33 268.0483922000014
34 201.75034050000008
35 199.3532639999988
36 200.66782299999977
37 273.1604588000002
38 276.7996355000014
39 203.56075859999982
40 207.64157500000147
41 203.69693360000093
42 280.93353124999885
43 209.50989199999896
44 210.0568017500027
