i value
5 0.8355555555555556
6 0.871957671957672
7 0.8867724867724867
8 0.9197089947089946
9 0.9197089947089946
10 0.9158994708994708
11 0.9004497354497353
12 0.8945238095238095
13 0.8973015873015872
14 0.8996825396825396
15 0.902063492063492
16 0.9016666666666666
17 0.8872222222222221
18 0.8538888888888888
19 0.8251851851851851
20 0.8320370370370369
21 0.8499999999999999
22 0.8644444444444443
23 0.8804761904761904
24 0.9029894179894178
25 0.9092063492063491
26 0.8848677248677248
27 0.8552380952380952
28 0.8314285714285713
29 0.8215079365079365
30 0.8056613756613757
31 0.7945767195767195
32 0.8089682539682539
33 0.8139682539682539
34 0.8134126984126983
35 0.8378571428571429
36 0.8806878306878305
37 0.8768518518518518
38 0.8694444444444442
39 0.85
40 0.8138888888888888
41 0.7935185185185185
42 0.8092592592592591
43 0.8583333333333334
44 0.8962962962962961
45 0.9259259259259259
46 0.9425925925925925
47 0.9481481481481481
48 0.9299663299663299
49 0.9265993265993266
50 0.9191919191919192
51 0.9080808080808079
52 0.9108585858585858
53 0.8921356421356421
54 0.8917989417989418
55 0.8847282347282347
56 0.8887686387686389
57 0.8971019721019721
58 0.9288785288785288
59 0.9422688422688422
60 0.9548951048951049
61 0.9430769230769229
62 0.9149287749287748
63 0.9052421652421652
64 0.9008465608465608
65 0.8980687830687831
66 0.9123280423280423
67 0.9025132275132275
68 0.8804232804232803
69 0.8613756613756614
70 0.8395502645502646
71 0.8235449735449736
72 0.8297619047619047
73 0.8571428571428571
74 0.8857142857142858
75 0.9103174603174603
76 0.9253968253968253
77 0.9032967032967033
78 0.8494505494505493
79 0.8065934065934066
80 0.8042124542124542
81 0.8002442002442003
82 0.8346459096459096
83 0.8785714285714287
84 0.9019841269841271
85 0.8936507936507937
86 0.8785714285714284
87 0.8623015873015873
88 0.8576719576719576
89 0.853042328042328
90 0.8447089947089946
91 0.8423280423280423
92 0.8589947089947089
