i value
5 788.0719189536508
6 791.7060997342063
7 793.4080791465078
8 798.0118047566666
9 761.0617041173015
10 708.0923486239682
11 680.8760059256349
12 684.704891900635
13 696.8008526729292
14 722.8724562769695
15 715.4906959087875
16 702.6010619587873
17 701.7485539235493
18 667.5139382131599
19 621.697575018961
20 662.8785957214286
21 722.0550531580955
22 713.9456338757143
23 702.779223551111
24 729.7646111479364
25 728.6963161064285
26 721.1851265514287
27 727.52260606627
28 708.6874336850002
29 669.2632048219842
30 623.601926650635
31 585.6538626137301
32 573.1131541794709
33 607.8339963961375
34 630.5744568874073
35 652.9814597320104
36 667.9878916600265
37 657.4980702931748
38 643.4408760737304
39 657.1007572388098
40 646.8014515238892
41 676.6070949633336
42 685.1576345094447
43 711.8895041888893
44 691.8354965330166
45 664.3896414815879
46 683.1933387904767
47 775.0220138904763
48 776.7305998621428
49 789.3757257185712
50 833.0588018579361
51 791.9427475125397
52 706.9848030322223
53 686.9659325588096
54 697.4203473421428
55 665.0539365197614
56 659.9506104340469
57 677.7826901054756
58 688.2409365038883
59 745.8749038044446
60 814.3748625055565
61 807.9818708666678
62 802.7681607916677
63 776.9889576277786
64 705.896641246826
65 664.1209019747619
66 652.3887161076984
67 696.2822076815083
68 707.2655124325399
69 717.3517877077778
70 789.4801721630158
71 855.8158740610312
72 844.9975883149989
73 864.8550021250785
74 883.1733679811898
75 811.3146395956345
76 747.746821382301
77 716.9445005532276
78 676.6882280763766
79 654.9457025259806
80 643.5693855394727
81 691.174057454077
82 720.6864441189449
83 772.6216535549227
84 791.3512228017465
85 777.7971996352379
86 764.0812320452369
87 732.1188358699977
88 750.4544648347598
89 767.4884223701581
90 806.183528085556
91 770.1122527405563
92 741.7631029388901
