i value
1 723.3606172222222
2 690.7469528968253
3 775.4199966634919
4 828.1739665523809
5 922.6580614333334
6 741.5315211250002
7 699.2568499583331
8 798.4386247142854
9 643.4234633555554
10 657.8112839666667
11 605.4498076333334
12 718.4012798333333
13 858.918428575757
14 773.781481375757
15 620.9024821257567
16 541.0016378833325
17 714.1387396571432
18 687.74535002381
19 544.699665404762
20 826.8075856380954
21 836.8839250666665
22 673.591643245238
23 631.9132984007933
24 679.626603388889
25 821.466110430556
26 799.3279772916671
27 705.2790408194445
28 537.7374364944444
29 482.50545907380933
30 593.1597195738098
31 609.5876571071426
32 642.5754986481483
33 711.3416475777776
34 596.2077615301587
35 705.1947337968252
36 684.6198167472229
37 590.1263918138895
38 641.0556764805557
39 664.5071673555556
40 653.6982052222223
41 833.6480339444447
42 632.8790895444455
43 774.7150248777787
44 564.2371290761912
45 516.4689299650797
46 927.6665204888881
47 1092.0224650444438
48 783.2579547361112
49 627.462758358333
50 734.8843106619048
51 722.0862487619054
52 667.2327426428574
53 683.1636023690478
54 679.7348322749986
55 573.052256549998
56 696.5696183333332
57 756.3931410000005
58 735.4548343611114
59 967.9046687777795
60 915.552050055558
61 664.6046601388898
62 730.3245906249999
63 606.558818541666
64 612.4430868730165
65 706.6733536952374
66 605.9437308035724
67 949.7920484940491
68 661.4753422968247
69 662.8744632492056
70 1067.3152759714271
71 937.6222402936495
72 895.7006197638875
73 760.7624113472224
74 754.4662925297622
75 708.0216340436509
76 619.7831492269819
77 741.6890156185207
78 559.4810489629676
79 645.7536647777819
80 651.1400491111117
81 857.8065088000028
82 889.2509489428608
83 819.157096142856
84 739.4015110119014
85 583.3699332785689
86 789.2266708499976
87 729.4389680666646
88 910.8352409666668
89 824.5712986888924
90 776.8454618555581
91 608.8702941249999
92 587.6932190583336
