i value
1 512.3048439999999
2 575.8041042500001
3 461.51577099999986
4 461.73785425000005
5 493.4006001999998
6 462.87590983333274
7 571.3049723333339
8 464.9664917999995
9 508.89652099999967
10 582.3737366666659
11 464.5899033333323
12 537.8388445
13 460.9691166000004
14 646.9641669999997
15 467.7213962500009
16 494.615725199999
17 569.8337780000002
18 543.0661147499977
19 465.7619533750003
20 456.9470939999992
21 468.01672899999903
22 524.2894251999999
23 486.5200754000005
24 455.79989219999845
25 462.08568066666584
26 452.5487016666666
27 500.50463379999854
28 461.74434033333335
29 463.8372780000015
30 464.8902586000011
31 465.5074100000008
32 472.0176922000013
33 452.3226836000016
34 468.72806250000093
35 461.30312540000307
36 534.4045627499981
37 454.75526433332806
38 494.26181679999866
39 449.0979374999976
40 451.51653360000057
41 459.6137851666669
42 520.7464687499996
43 491.9869479999943
44 462.67207300000155
