i value
5 75.7775694129526
6 75.49981459141415
7 73.06498201043124
8 74.73343592598681
9 79.47947907063326
10 83.86720143645817
11 83.91091860730472
12 85.05560500931936
13 84.69661056394901
14 83.84328870448772
15 84.12554047121692
16 82.13258176656083
17 80.33883367552912
18 78.76186270867727
19 76.46384771595396
20 77.63776304111425
21 83.4015947543682
22 84.44729452674915
23 83.343172373892
24 84.24954495772641
25 80.89674556044974
26 72.54336192130833
27 73.32415472790174
28 78.18842623019944
29 73.02261319707773
30 75.33907507300363
31 76.70730577270064
32 76.120366351201
33 73.52991829320345
34 78.30068444696009
35 77.22509811944687
36 81.83528579711881
37 82.11415252702304
38 81.31462722481086
39 80.65740011696465
40 78.25598831467401
41 72.00919503935496
42 67.8002057374662
43 64.2647772148367
44 63.4666288207517
45 64.23323388176473
46 69.50945879950984
47 74.44259394007007
48 80.48929243251636
49 81.5741201345005
50 84.544289909958
51 84.79358269167814
52 79.60450651189038
53 73.6471820132131
54 67.73511448604377
55 62.01219155134677
56 64.6075206498316
57 71.70041027727265
58 71.73925205393934
59 74.24434899331646
60 80.22184556703446
61 78.28371183544938
62 77.32139703730121
63 79.74265528748644
64 81.86875959794102
65 79.74957081946395
66 78.04255580159297
67 69.56657754704752
68 63.94989239239378
69 60.026331298144065
70 54.90803233315567
71 48.90070414897541
72 49.84031570574312
73 50.6470059320635
74 50.94290626444449
75 53.825160573333406
76 57.559141648148184
77 62.68186372185178
78 71.20568949777763
79 78.66708849814795
80 81.93915814144762
81 79.05065356104356
82 75.00784724765745
