i value
1 82.16771797435896
2 86.51966825000001
3 77.25370720000002
4 70.19134815555553
5 62.7554054848485
6 80.77894386666668
7 74.34550534508548
8 85.59597677777779
9 93.92156387878786
10 84.69401731397303
11 80.99752972089945
12 80.06893735515871
13 83.80100455092595
14 89.65495458148149
15 86.10527614761901
16 71.03273619761906
17 71.10019690000006
18 75.91614971666674
19 78.16487961786494
20 91.97485277342045
21 99.85189476388882
22 76.32869576190475
23 70.39553895238106
24 82.69674253703697
25 75.2108557870371
26 58.084976568181794
27 80.23265979487184
28 94.71689646386945
29 56.86767737142842
30 86.79316516666665
31 64.92613006666681
32 77.29796268737368
33 81.76465617388163
34 80.72150814021165
35 81.41523352910052
36 87.97706845502661
37 78.69229633689477
38 77.76702966282075
39 77.43537260098063
40 69.40817451764731
41 56.74310207843136
42 57.64734982745095
43 60.08988704967321
44 73.44463063055565
45 73.24119982271253
46 83.1242266671569
47 82.31302553025205
48 90.32337951190473
49 78.8687691404763
50 88.09204870000002
51 84.37069057575758
52 56.36764463131319
53 60.536757018518436
54 49.30843150462959
55 59.47743402651502
56 97.34733606818173
57 91.83209276851852
58 60.730965901851846
59 61.83391620151522
60 89.36491689510498
61 87.65666741025632
62 87.02051877777768
63 72.83725715277802
64 72.46443775378812
65 78.76897300271959
66 79.12159232090141
67 44.640627505050475
68 44.75383137950934
69 52.8466322825395
70 53.1774781777776
71 49.08495140000014
72 49.33868528888902
73 48.787282511111236
74 54.32613394444444
75 67.58874972222216
76 67.75485677407403
77 74.95229565740705
78 91.40641139074047
79 91.63312894629603
80 83.94909793872047
81 53.3123338720538
82 54.738264090476434
