i value
5 0.9983870967741936
6 0.9983870967741936
7 0.9985714285714286
8 0.9985714285714286
9 0.9985714285714286
10 0.9985714285714286
11 0.9985714285714286
12 1.0
13 1.0
14 1.0
15 1.0
16 1.0
17 1.0
18 1.0
19 1.0
20 1.0
21 1.0
22 1.0
23 1.0
24 1.0
25 1.0
26 1.0
27 1.0
28 1.0
29 0.9993710691823899
30 0.9993710691823899
31 0.9993710691823899
32 0.998744109934741
33 0.998744109934741
34 0.9987278794620285
35 0.9980785288126779
36 0.9980785288126779
37 0.9987054880603268
38 0.9987054880603268
39 0.9993506493506494
40 1.0
41 1.0
42 1.0
43 1.0
44 1.0
45 1.0
