i value
5 188.5447848586475
6 188.58492815012863
7 188.04573514227937
8 188.56503244368747
9 189.72630267215374
10 190.08714560396228
11 188.70634065767
12 189.3097615766957
13 189.8919266670507
14 188.88101686299552
15 188.4224030608937
16 189.48068674055784
17 189.99609811696772
18 190.45637407212317
19 191.36224860323745
20 191.7745692350657
21 190.65166668997153
22 190.50244376893505
23 189.85631955946025
24 188.94144237266488
25 190.20950354263596
26 190.27994940095735
27 190.7283617339284
28 191.3816344767196
29 192.20234386090914
30 190.5777540391137
31 190.34808795148638
32 190.96854033746953
33 190.7264117271323
34 190.72444718758354
35 191.72680074283772
36 192.2471972533267
37 190.8784495580305
38 191.36614826895715
39 195.82902611396992
40 196.83503626985413
41 198.37513388640915
42 199.43543584051017
43 198.70452587316308
44 194.11907505633368
45 193.28786084180916
