i value
1 195.71184153389834
2 188.32580052845535
3 184.8212450564517
4 186.7603045350876
5 187.1047326393445
6 195.91255799130406
7 185.62983548920894
8 187.41773156349228
9 192.56665567741888
10 188.90894729838726
11 189.00853325984272
12 188.64694008433733
13 190.32855701526736
14 187.51210665714294
15 186.6158782878783
16 194.29995165816337
17 191.22399696638658
18 192.62993679104466
19 192.04147931271436
20 188.67748144701963
21 188.6854389326924
22 190.47788236120422
23 189.39931574367066
24 187.46709337873745
25 195.01778729687504
26 189.03766822429938
27 192.71994402605952
28 192.66567945762662
29 191.57064029968518
30 186.8948381878977
31 187.88933778616288
32 195.82220595597536
33 191.45503640594038
34 191.56081760194135
35 191.90660596416856
36 190.49132033860786
37 188.97846747949436
38 193.89352996057355
39 213.8752068270053
40 196.93665674358954
41 198.19180842138294
42 194.2799772499995
43 190.2389801238381
44 190.94795274285835
45 192.7805856709669
