i value
1 0.8486021186021185
2 0.8402950640519701
3 0.8606507663306286
4 0.8196053670086818
5 0.8457037621678505
6 0.8918918828044912
7 0.9254539320328794
8 0.9208587734883971
9 0.9088986985970604
10 0.9194870075151765
11 0.8657938169813195
12 0.9443991545893718
13 0.9620250120250119
14 0.9516163222045575
15 0.9697620325639649
16 0.9650499968405531
17 0.9696296653952006
18 0.9835282410385902
19 0.9794508028184467
20 0.9767155177691791
21 0.9874456023087834
22 0.9888729860497102
23 0.9799747093864742
24 0.9826485382738185
25 0.9811238181178792
26 0.9865234049641847
27 0.9822540150878494
28 0.9863424104479195
29 0.9807963962208228
30 0.9850273270820754
31 0.9839847649276992
32 0.9822239603596458
33 0.9815937162465008
34 0.9913976542714085
35 0.976852875991632
36 0.9806065880913191
37 0.975663672759653
38 0.9887362637362638
39 0.9805182078695415
40 0.9835654860045104
41 0.9858166132305854
42 0.983417176499227
43 0.982073247088444
44 0.9820776657215663
