i value
1 1127.0191651033638
2 1095.3243641795657
3 1168.0922919348584
4 1181.166280630991
5 1078.3803445876372
6 1273.6504448342637
7 1356.5520239829418
8 1350.306846598004
9 1409.3155700771606
10 1485.483378303622
11 1368.8361782220336
12 1096.0918156611688
13 1367.413647760985
14 1323.4577272030126
15 1470.550541282874
16 900.6622297015294
17 1603.5810099147955
18 765.0815056016685
19 661.0808570468298
20 608.5956074804476
21 605.872276525919
22 639.1592458142895
23 594.4818849982034
24 669.167254663838
25 623.4111864227598
26 663.580307431233
27 581.4799297891229
28 634.1674658137424
29 590.4469982808569
30 633.8124948578303
31 598.3844561633525
32 661.0413519799712
33 655.5353640240253
34 653.1117771092784
35 638.2231729519285
36 631.8550461980676
37 602.5279977506967
38 944.2903562530518
39 666.4800625916239
40 675.5816018565665
41 627.0947446556224
42 630.5988815678645
43 635.1486946341553
44 653.4226112410547
