i value
5 0.9896659873751179
6 0.9881275258366564
7 0.9868627312207362
8 0.9853123436238371
9 0.9873614056728991
10 0.9924461514356111
11 0.9939846129740726
12 0.9915051679586563
13 0.9930555555555556
14 0.992445054945055
15 0.992445054945055
16 0.992445054945055
17 0.9911355311355312
18 0.9897018393792587
19 0.9903729240198089
20 0.9873194889053052
21 0.9858434741451576
22 0.9896732613792002
23 0.9911069531354725
24 0.9914104291025104
25 0.9932406226268002
26 0.9920047729801681
27 0.9935596011307408
28 0.9935596011307408
29 0.9928900982414597
30 0.9928633398316737
31 0.993090732188764
32 0.9905266296246614
33 0.9879122505396941
34 0.9885146724385443
35 0.9891317610461392
36 0.9883049748176829
37 0.9895870260997341
38 0.9903322463061969
39 0.9890828863471596
40 0.9877865372894037
41 0.9892050510880542
42 0.9893151659220955
43 0.9905453471648172
44 0.9898487837498072
