i value
1 1.0
2 0.9919354838709677
3 1.0
4 0.9818181818181818
5 0.9745762711864406
6 0.9923076923076923
7 0.9856115107913669
8 0.9922480620155039
9 0.9920634920634921
10 1.0
11 1.0
12 0.9732142857142857
13 1.0
14 0.989010989010989
15 1.0
16 1.0
17 0.9666666666666667
18 0.992831541218638
19 0.9923664122137404
20 0.9847328244274809
21 0.992619926199262
22 0.9858156028368794
23 1.0
24 0.9938837920489296
25 0.9938837920489296
26 0.9864406779661017
27 0.9935897435897436
28 1.0
29 0.9905362776025236
30 0.99375
31 0.9875776397515528
32 0.9807692307692307
33 0.9869281045751634
34 0.9935483870967742
35 0.9968354430379747
36 0.9834437086092715
37 0.9871794871794872
38 0.9906542056074766
39 0.9873015873015873
40 0.9903536977491961
41 0.9905362776025236
42 0.9877300613496932
43 0.9968051118210862
44 0.9838187702265372
