i value
5 437.7549414821786
6 438.7893875845836
7 438.1485206358091
8 438.0775744887357
9 438.3806374815651
10 438.5657334141206
11 437.45336519177033
12 436.98744000827065
13 437.57098437375697
14 437.9934728683352
15 437.4214029204024
16 437.9896503630763
17 439.2260396041811
18 439.8818288449109
19 440.02796782944085
20 441.201214319877
21 440.9493018623154
22 440.52342748651984
23 440.21966377873116
24 440.7088743438083
25 441.43179001625447
26 441.6511996945543
27 441.62020396399475
28 441.42611395280875
29 441.12435911421363
30 440.27384096214183
31 439.6601264226744
32 440.25933478039326
33 440.4023886533546
34 440.6427273085907
35 440.56337204016916
36 440.30304880503746
37 440.1399605948215
38 450.08741788880496
39 451.33784087635456
40 451.77508209095794
41 453.5737564700782
42 453.7597287909431
43 444.15565368267073
44 443.1292569447792
