i value
2 812.8910688547619
3 812.8910688547619
4 990.8399743527776
5 990.8399743527776
6 990.8399743527776
7 990.8399743527776
8 990.8399743527776
9 990.8399743527776
10 514.4132220377307
11 514.4132220377307
12 514.4132220377307
13 514.4132220377307
14 385.09932554682825
15 451.8712363755496
16 477.75808515705717
17 475.9363736116716
18 479.53278098407736
19 490.6703974734751
20 447.09507217013254
21 398.2676971915721
22 438.50088761561574
23 466.12521546195103
24 430.4727222244847
25 389.8962687776973
26 371.8252838338747
27 413.41466659181856
28 539.7452319341453
29 590.2971103644422
30 489.39064768335754
31 432.04930068631296
32 448.8939392361133
33 456.5138383948274
34 451.9931707694245
35 435.20939576704404
36 401.1618649122683
37 390.0752269537834
38 405.2029569034771
39 406.2720207620825
40 432.4666766022553
41 482.1388715093035
42 465.0760257361861
43 398.54506417501943
44 425.7696580949804
45 548.2802945319984
46 541.5430787027499
47 468.0828548102709
48 411.44678744140697
49 350.18821171590895
50 343.8863720405991
51 422.7669217357796
52 502.368257860864
53 416.4517360925929
54 345.7033605330165
55 366.6936544850756
56 391.79861831400194
57 437.2779600236597
58 459.1112031843836
59 431.87110026972687
60 412.5570836184747
61 388.965509448886
62 363.6145218314259
63 371.2680457531392
64 357.0854277412126
65 359.8959778825867
66 376.4049367093164
67 345.2688120923433
68 372.88661740853854
69 428.28228703322316
70 436.80640932297604
71 442.3802101495068
72 486.52667335959825
73 492.7441168745687
74 489.1494142241093
75 521.9148541094955
76 450.8163806520463
77 405.14149040545055
78 428.3336551497432
79 450.71491430145096
