i value
1.933 110.255
2.433 110.255
2.950 110.255
3.367 110.255
3.883 110.255
4.383 68.042
4.883 68.041
5.400 68.043
5.917 68.051
6.417 68.057
6.833 68.042
7.350 68.030
7.767 68.027
8.267 68.020
8.783 68.009
9.200 68.010
9.717 68.005
10.217 68.015
10.717 68.033
11.233 68.054
11.650 68.068
12.167 68.081
12.667 68.076
13.083 68.075
13.600 68.071
14.100 68.073
14.617 68.073
15.117 68.083
15.533 68.079
16.050 68.085
16.550 68.083
17.067 68.091
17.567 68.091
18.083 68.093
18.583 68.092
19.083 68.087
