i value
0.000 0.900
0.517 0.900
0.933 0.900
1.450 0.900
1.950 0.900
2.367 0.900
2.883 0.900
3.300 0.900
3.800 0.900
4.317 0.900
5.250 0.900
5.667 0.900
6.183 0.900
6.600 0.900
7.017 0.900
7.533 0.900
7.950 0.900
8.467 0.900
8.967 0.900
9.383 0.900
9.900 0.900
10.400 0.900
10.900 0.900
11.417 0.900
11.833 0.900
12.350 0.900
12.850 0.900
13.267 0.900
13.783 0.900
14.200 0.900
14.700 0.900
15.217 0.900
15.633 0.900
16.150 0.900
16.650 0.900
17.150 0.900
17.667 0.900
18.083 0.900
18.600 0.900
19.100 0.900
