i value
0.000 0.998
0.517 0.998
0.933 0.999
1.450 1.000
1.950 0.998
2.367 0.998
2.883 0.998
3.300 0.998
3.800 0.999
4.317 0.999
5.250 0.959
5.667 0.997
6.183 1.000
6.600 0.998
7.017 0.999
7.533 0.998
7.950 0.998
8.467 0.999
8.967 0.999
9.383 1.000
9.900 0.999
10.400 0.999
10.900 0.998
11.417 0.999
11.833 0.998
12.350 0.999
12.850 0.998
13.267 0.999
13.783 0.999
14.200 0.999
14.700 1.000
15.217 0.999
15.633 0.999
16.150 0.997
16.650 0.998
17.150 0.998
17.667 1.000
18.083 0.999
18.600 0.998
19.100 0.998
