i value
0.000 120.000
0.517 120.000
0.933 120.000
1.450 120.000
1.950 120.000
2.367 120.000
2.883 120.000
3.300 120.000
3.800 120.000
4.317 120.000
5.250 120.000
5.667 120.000
6.183 120.000
6.600 120.000
7.017 120.000
7.533 120.000
7.950 120.000
8.467 120.000
8.967 120.000
9.383 120.000
9.900 120.000
10.400 120.000
10.900 120.000
11.417 120.000
11.833 120.000
12.350 120.000
12.850 120.000
13.267 120.000
13.783 120.000
14.200 120.000
14.700 120.000
15.217 120.000
15.633 120.000
16.150 120.000
16.650 120.000
17.150 120.000
17.667 120.000
18.083 120.000
18.600 120.000
19.100 120.000
