i value
0.000 0.688
0.333 0.689
0.583 0.699
0.833 0.691
1.167 0.700
1.517 0.998
1.767 0.998
2.017 0.997
2.267 1.000
2.600 0.996
2.950 0.996
3.283 0.998
3.533 0.998
3.783 1.000
4.117 0.999
4.467 0.999
4.800 1.000
5.050 0.998
5.300 0.998
5.633 0.998
5.967 0.998
6.317 0.996
6.567 0.998
6.817 0.999
7.150 0.997
7.500 1.000
7.833 0.999
8.083 0.999
8.333 1.000
8.667 0.996
9.000 1.000
9.350 0.997
9.600 0.998
9.850 1.000
10.100 0.998
10.433 0.997
10.783 0.998
11.117 1.000
11.367 1.000
11.617 1.000
11.950 0.998
12.300 0.999
12.633 1.000
12.883 0.999
13.133 1.000
13.467 0.999
13.800 0.999
14.150 0.997
14.483 1.000
14.733 0.998
15.067 0.997
15.400 0.998
15.750 0.998
16.000 0.997
16.250 1.000
16.583 0.998
16.933 0.998
17.267 1.000
17.517 0.999
17.767 0.998
18.100 1.000
18.450 1.000
18.783 0.999
19.117 0.998
19.367 0.999
