i value
5 256.70494347000005
6 268.22976837000004
7 262.0921017300001
8 250.12898844000006
9 228.06386181777788
10 225.38371963206365
11 202.70918124634937
12 201.9935660413492
13 203.49169913134926
14 203.58932301071437
15 204.85745152500004
16 205.44743578571428
17 204.60696086071437
18 203.68907236071433
19 203.82637113214307
20 201.95579268134924
21 201.10374063968263
22 200.82007166746055
23 200.959247873016
24 200.98444831111095
25 201.2118057333333
26 202.64731820000011
27 203.31930312222227
28 202.63896705238133
29 202.36981798571455
30 201.58007071904802
31 199.53887254761906
32 198.53686527619053
33 197.97497901269818
34 196.64388241269833
35 197.3632768793649
36 197.790087550794
37 199.2493875793658
38 200.0175167571435
39 200.85350132857192
40 200.31372468857205
41 202.2757801885717
42 201.95289657142865
43 201.71351920000023
44 204.5221558285719
