i value
1 256.30424
2 238.14009160000006
3 258.86420825000016
4 312.96686499999987
5 217.2493125000001
6 313.92836450000004
7 207.45175840000047
8 199.04864179999987
9 202.641231888889
10 203.8486015714287
11 200.55567257142891
12 203.8736823749996
13 206.5393072500001
14 203.12935128571448
15 210.1892441428572
16 203.50559387500016
17 199.67130774999987
18 201.94986474999996
19 203.8158451428582
20 200.8363518888881
21 199.24533366666705
22 198.25296288888947
23 202.64574577777725
24 203.9418473333329
25 201.97313899999992
26 206.42289600000095
27 201.61288750000023
28 199.2440654285726
29 202.59610199999912
30 198.0244026666672
31 196.21690514285623
32 196.60285114285736
33 196.43463411111102
34 195.94061899999983
35 201.62137500000003
36 198.35095850000167
37 203.89935128571648
38 200.27527999999958
39 200.12054185714183
40 198.92249180000073
41 208.16123599999992
42 202.28493320000126
43 199.0783931428575
44 214.16372499999997
