i value
5 0.8355555555555556
6 0.8355555555555556
7 0.8355555555555556
8 0.8355555555555556
9 0.8355555555555556
10 0.8355555555555556
11 0.8355555555555556
12 0.8355555555555556
13 0.8355555555555556
14 0.9723076923076922
15 0.9828571428571429
16 0.9766233766233766
17 0.9603896103896105
18 0.9512987012987013
19 0.9512987012987013
20 0.9512987012987013
21 0.9603896103896105
22 0.9703733766233766
23 0.9732142857142858
24 0.9732142857142858
25 0.9803571428571429
26 0.9875
27 0.99375
28 1.0
29 1.0
30 1.0
31 1.0
32 0.9857142857142858
33 0.9714285714285715
34 0.9714285714285715
35 0.9714285714285715
36 0.9614285714285714
37 0.9657142857142856
38 0.9728571428571428
39 0.9514285714285714
40 0.93
41 0.9328571428571429
42 0.9357142857142857
43 0.9428571428571428
44 0.9642857142857142
45 0.9857142857142858
46 0.9803571428571429
47 0.975
48 0.9625
49 0.95
50 0.95
51 0.9625
52 0.96875
53 0.96875
54 0.96875
55 0.9616071428571429
56 0.9544642857142858
57 0.9607142857142857
58 0.9732142857142858
59 0.9857142857142858
60 0.9928571428571429
61 1.0
62 1.0
63 1.0
64 1.0
65 1.0
66 1.0
67 1.0
68 1.0
69 1.0
70 1.0
71 1.0
72 1.0
73 0.9928571428571429
74 0.9857142857142858
75 0.9785714285714284
76 0.9785714285714284
77 0.9785714285714286
78 0.9757142857142856
79 0.9585714285714285
80 0.9514285714285714
81 0.9371428571428572
82 0.9371428571428572
83 0.9471428571428572
84 0.9714285714285715
85 0.9857142857142858
86 0.9954545454545455
87 0.990909090909091
88 0.990909090909091
89 0.990909090909091
90 0.990909090909091
91 0.9804545454545455
92 0.9644444444444444
93 0.9588888888888889
94 0.9588888888888889
95 0.9588888888888889
96 0.9738888888888889
97 0.9944444444444445
98 1.0
99 1.0
100 1.0
101 1.0
102 1.0
103 1.0
104 1.0
105 1.0
106 1.0
