i value
1 523.07630225
2 487.4384001999999
3 515.1310835000002
4 547.5826877499999
5 464.1244687499998
6 428.298854375
7 382.52435437500003
8 384.319724125
9 364.13189429166664
10 390.5338681666665
11 376.28324487499975
12 348.85103437500004
13 363.249906250001
14 359.2886650833334
15 355.9780383333334
16 376.33463275000065
17 407.77469712500067
18 391.1501596250001
19 366.4348834999999
20 413.3991908928557
21 377.7936002999999
22 348.7150051285721
23 397.5856479285719
24 412.9450514999993
25 364.16529293749943
26 367.5003638374993
27 366.65010514999926
28 392.464215624999
29 411.2707192083326
30 375.5155158749992
31 368.55540119999966
32 379.3896566166662
33 386.6767107166658
34 417.5831359761921
35 381.72684754761883
36 352.05557638095223
37 392.00393050000156
38 404.102599083335
39 364.00242883333397
40 343.11457470833386
41 364.79802100000006
42 343.39481804166644
43 323.8908840952377
44 347.63941179166613
45 367.44544922499955
46 353.7118293499996
47 365.76599184999975
48 381.59405426666586
49 369.77730826666544
50 390.0036043750006
51 441.8957241499993
52 394.15724500000033
53 347.9475126499998
54 326.9827792999989
55 358.8807808999986
