i value
5 89.4192642753439
6 89.4192642753439
7 89.4192642753439
8 89.4192642753439
9 89.4192642753439
10 66.48565678915523
11 66.48565678915523
12 66.48565678915523
13 66.48565678915523
14 66.48565678915523
15 9.086938486850519
16 7.917468202088612
17 7.894572362572484
18 7.917871279056003
19 7.536547800995398
20 7.3441489159514095
21 7.487977295379982
22 7.359534359896111
23 7.323562780064179
24 7.022954959756484
25 7.128639763003238
26 6.8705366121460925
27 6.71182319052447
28 6.654097884642114
29 6.886769326949809
30 6.937929232793961
31 7.071435949768755
32 7.529267431996442
33 7.336221398663108
34 7.30094418414698
35 7.111881792009385
36 6.852499331225071
37 6.589544552670281
38 6.534481586003617
39 6.408721925519737
40 6.367759259134607
41 6.364969071515556
42 6.123382789464285
43 6.535544777343064
44 6.544178150991728
45 6.389999526144157
46 6.294352530429873
47 6.275203070429868
48 6.123904118265374
