i value
1 516.3637083
2 475.92207236363635
3 521.3038491250004
4 501.73578861538465
5 460.9046816470586
6 374.05037241666673
7 349.9110209019608
8 346.9166674495797
9 357.24814157142845
10 350.6589692802198
11 344.7901992238097
12 347.05184470000006
13 340.57835853333324
14 348.7474407357142
15 351.4685754357141
16 343.6497911857141
17 357.3696900129876
18 392.17985669155905
19 395.74205571428485
20 351.92063327941094
21 355.4284418930484
22 369.68539599999997
23 356.5297051988633
24 353.07882374107135
25 344.040071590336
26 345.1138805656106
27 361.5078879615388
28 357.4647941121793
29 353.6269125333332
30 343.73125173077
