i value
5 259.33080181
6 213.91297539
7 211.04277370999998
8 202.72976042000002
9 223.37316873999998
10 223.3499345342857
11 230.35668927428569
12 231.34161591428582
13 233.82057510428575
14 212.5818529509524
15 216.43191093666684
16 234.05211384666686
17 241.26465721666682
18 241.63099466666682
19 253.16707510000015
20 248.1611439000002
21 227.9364160300001
22 221.7445976600001
23 220.05831098000013
24 216.70447143000015
25 229.01996725000004
26 237.00620757000033
27 239.1224842900005
28 239.32155150333384
29 233.49873418666692
30 222.59542303333373
31 230.0448709833335
32 241.77003138333362
33 247.77097405000026
34 246.54724351666692
35 247.6510096700002
36 242.13268677000036
37 235.05164965000003
38 234.76030476999995
39 234.35172146999986
40 234.88948478999993
41 219.10508063999987
42 209.86069235999975
43 222.36430231999975
