i value
1 0.992
2 1.0
3 0.9824561403508771
4 0.9917355371900827
5 1.0
6 0.9916666666666667
7 1.0
8 0.9913793103448276
9 0.9830508474576272
10 0.990990990990991
11 0.9848484848484849
12 0.9914529914529915
13 0.9818181818181818
14 0.9911504424778761
15 0.991304347826087
16 0.9830508474576272
17 1.0
18 1.0
19 1.0
20 0.9910714285714286
21 0.9916666666666667
22 0.9844961240310077
23 1.0
24 0.9923076923076923
25 0.9719626168224299
26 0.9921875
27 0.9741379310344828
28 0.9761904761904762
29 1.0
30 0.9824561403508771
31 1.0
32 1.0
33 0.991869918699187
34 1.0
35 0.9777777777777777
36 0.9913793103448276
37 0.9833333333333333
38 0.992
39 1.0
40 0.992
41 1.0
42 0.9923664122137404
43 0.9741379310344828
44 1.0
45 0.9913793103448276
46 0.9824561403508771
47 0.990990990990991
48 1.0
49 1.0
50 1.0
51 0.9841269841269841
52 0.9906542056074766
53 0.9752066115702479
54 0.990990990990991
55 0.9880952380952381
56 1.0
57 0.9827586206896551
58 0.991304347826087
