i value
5 70.17881583584564
6 75.26509051634218
7 82.79262853946499
8 84.27875491300034
9 84.48445721279832
10 86.39737525604617
11 81.79392191128426
12 76.06799180167386
13 75.86869446201057
14 77.95364591830688
15 78.54573686460319
16 82.9195999532275
17 84.15372236407407
18 85.44203652259257
19 84.21544924065525
20 82.48812029982902
21 79.5428291904258
22 78.1967735244414
23 76.34627052179033
24 75.06755140520913
25 76.87527266501684
26 78.48016670479755
27 80.28457915810392
28 82.74272483947556
29 83.92394600412202
30 82.42551804943245
31 79.21476245371727
32 76.09703740824716
33 73.17941187248957
34 72.1397640345098
35 71.68669067947711
36 73.51216650777778
37 74.99812564427351
38 76.1582279045066
39 80.21146381898471
40 83.48309102083658
41 85.56880866340512
42 83.2523441838791
43 80.63075776660898
44 79.10339714461766
45 76.27373293540926
46 74.22162502596036
47 77.48030268353614
48 78.69364531067417
49 75.25529887665441
50 71.62415176848806
51 68.20919165415924
52 66.50677718101147
53 67.05277655851732
54 69.01102724211377
55 72.60301065879104
56 75.95922473747494
57 77.09385228334995
58 79.49341013860024
59 80.45058074606061
60 78.280135222684
61 76.19585039760243
62 72.77516224013031
63 68.20058584171763
64 62.0784843927229
65 60.25719800446889
66 59.611268993821724
67 61.907724938306856
68 66.63693562666661
69 73.50671877534386
70 76.55053056095235
71 78.3020720295985
72 77.85175789494242
73 77.8323607165826
74 79.0029437032737
75 81.76836902215855
76 85.16821746911687
77 88.79234730726499
78 83.52461689282055
79 77.23687822597078
80 78.75749055655686
81 79.48313600063486
82 76.80331857650786
83 80.2499754861375
84 82.02593755560831
85 75.51869861989405
86 69.97614713894178
87 68.113667876508
88 69.53057745809537
89 71.77435140031767
90 74.25639920380964
91 71.724253932381
