i value
5 238.5875943566667
6 214.48071564666665
7 213.30912728666664
8 210.5466689733333
9 206.9091454066666
10 205.87973497666658
11 205.60979619380947
12 204.27387951380948
13 201.75295916936503
14 200.123612078456
15 199.57185514512267
16 199.2576490379798
17 199.08842921464648
18 199.30239329242426
19 199.2394614378788
20 199.13817622890446
21 199.52617207890438
22 199.64752824685314
23 200.91903708531476
24 201.67379772167837
25 201.70943252065263
26 201.45147903493836
27 201.70082285032294
28 202.0655085918615
29 201.60386674710625
30 201.52910536043967
31 202.1877755128208
32 202.2319170528205
33 201.69642356032043
34 202.39906219749986
35 202.93920391749984
36 202.02358101749957
37 202.77368809416663
38 203.0213024266664
39 201.67591437410235
40 201.9397691341027
41 202.43907147652703
42 202.04199614557444
43 201.8520633422416
44 202.6168742314725
45 202.04263318531838
