i value
1 324.41196875
2 212.46355839999995
3 221.98533339999994
4 225.71515283333338
5 208.3619584000002
6 203.87757519999977
7 206.60561659999985
8 208.17304183333331
9 207.52753499999986
10 203.21490625
11 202.52788128571436
12 199.9260331999998
13 195.56844011111104
14 199.38079954545472
15 200.45612158333338
16 200.95685075000014
17 199.0799340833331
18 196.6382604999999
19 199.06614027272735
20 199.9496955384619
21 202.89682999999968
22 199.686714923077
23 202.99580469230793
24 202.8399434545453
25 200.12786953333318
26 201.60706257142843
27 200.9334339999999
28 204.81923340000066
29 200.53173423076916
30 199.75406260000017
31 204.90041333333406
32 201.15414169999858
33 202.14176593750017
34 204.0449274166664
35 202.45477119999995
36 200.32229883333275
37 204.9046770833338
38 203.37983759999915
39 197.31798715384613
40 203.77404500000165
41 202.8188105454544
42 202.9193004285709
43 202.43017358333478
44 201.14204160000082
45 200.90283976923092
