i value
1 0.8260320302311503
2 0.844773369843496
3 0.8736500754147812
4 0.854766468634291
5 0.835615525570548
6 0.9226934824640343
7 0.9042700433524358
8 0.9186612173222255
9 0.900203590914316
10 0.8530184770016092
11 0.9785868205868204
12 0.9777906826687313
13 0.9821950084792819
14 0.9919999999999998
15 0.9842374712319757
16 0.9804916420845623
17 0.9889788114507214
18 0.9904870551700096
19 0.977347670250896
20 0.9853140096618356
21 0.9870707070707069
22 0.9823653962492437
23 0.9791641909288966
24 0.9867075010284773
25 0.9808558751967938
26 0.9857463524130189
27 0.9877434966727161
28 0.9781653746770024
29 0.9867243867243866
30 0.9796558496760764
31 0.9919346978557503
32 0.9821397546822334
33 0.9815521403756696
34 0.9825396825396824
35 0.986023282680174
36 0.979371231696813
37 0.9858874544200255
38 0.9854906764665848
39 0.9818783068783068
40 0.9837982307547524
41 0.9825195495192126
42 0.9885644322007957
43 0.9794621445700581
44 0.9846876869178841
45 0.981585451977401
46 0.9860052982552296
47 0.9903814884302687
48 0.9843621399176953
49 0.9847038987676208
50 0.9828347578347576
51 0.9830132052821127
52 0.9818041354237672
53 0.9903996101364521
54 0.9847119847119846
55 0.9797767145135565
56 0.9911694946177704
57 0.9801204159824848
58 0.9906307475927727
