i value
5 731.6886338201587
6 731.6886338201587
7 731.6886338201587
8 731.6886338201587
9 731.6886338201587
10 649.6018005635896
11 649.6018005635896
12 649.6018005635896
13 649.6018005635896
14 649.6018005635896
15 649.6018005635896
16 649.6018005635896
17 603.834906439762
18 591.8084056549407
19 578.7352407786906
20 577.7766800961906
21 577.7766800961906
22 577.7766800961906
23 577.7766800961906
24 577.7766800961906
25 437.30563903628433
26 444.43544517696273
27 471.45796702763926
28 483.97837705886906
29 473.7786489614465
30 441.5052599887299
31 422.59149292435114
32 411.28538360363336
33 418.4928343730174
34 426.41091653713113
35 440.74889883220465
36 444.61365022852294
37 445.74007991784185
38 437.2040684812567
39 425.35191372385736
40 427.2611420280621
41 422.53050055628194
42 431.43642667101994
43 453.1271644458103
44 456.64760329974854
45 446.20141393076517
46 435.18805427074824
47 412.22280257794836
48 385.9465263575929
49 375.0005868001589
50 367.3655129614232
51 381.9999278416991
52 385.92709647740367
53 369.54249070893013
54 368.67153034391674
55 383.08161518540265
56 393.74203902584435
57 396.9650581704569
58 409.10796869237265
59 406.0702747999774
60 391.93731598869505
61 369.7235010590117
62 366.190218440173
63 364.35716408126274
64 375.9452542539379
65 402.54728804428817
66 416.8838381402373
67 418.52804316834465
68 415.62131938226696
69 413.9233597766358
70 388.3468784881941
71 373.70527317488984
72 385.13192796873767
73 397.5109347369652
74 407.3836612471532
75 416.11326735611556
76 417.9530165550017
77 436.9692811086082
78 458.45317410390874
79 482.0395483911449
80 475.6152436942254
81 467.62557412849185
82 423.5216370325394
83 383.78909807278103
84 355.8077780525021
85 382.70082198680404
86 411.54117374938505
87 423.26817930390405
88 428.7423452990978
89 422.2069499285286
90 413.7010928623824
91 392.13642197025763
92 396.7981782068581
93 410.0398458287224
94 422.1472353941784
95 397.6154859108773
96 392.62011346655135
97 375.05320879930474
98 366.0304133658509
99 353.16009148935893
100 380.2418984550269
101 401.1779434458148
102 419.67480273181656
103 417.4318917769889
104 422.3478133757106
105 408.53798436402974
106 398.46878077179935
107 402.3436188783707
108 414.25498745365485
109 419.93390633905875
110 432.29949321137155
111 423.4967886640632
112 419.3082338047913
113 414.68000250532214
114 382.943888530404
115 355.6084691315633
116 356.42919321619894
117 345.7053173552119
118 339.9524903544451
119 360.21168317698164
120 383.4611168064795
121 394.7920885556232
122 395.7874679558396
123 404.64412351375427
124 410.2519350292729
125 414.55308829591684
126 425.1168044887601
127 453.6364918857897
128 464.41912148923905
129 465.1316429056516
130 458.9494279952517
131 444.5193910332199
132 431.22956708845396
133 421.5292719724513
134 411.77861844633617
135 422.98128249119355
136 436.29607775277765
