i value
5 0.95
6 0.95
7 0.95
8 0.95
9 0.95
10 0.95
11 0.95
12 0.97
13 0.975
14 0.9800000000000001
15 0.9800000000000001
16 0.9800000000000001
17 0.9833333333333334
18 0.9666666666666668
19 0.9541666666666668
20 0.9416666666666668
21 0.9416666666666668
22 0.9583333333333334
23 0.975
24 0.9875
25 1.0
26 0.9800000000000001
27 0.9800000000000001
28 0.9800000000000001
29 0.9800000000000001
30 0.9657142857142856
31 0.9714285714285715
32 0.9714285714285715
33 0.9714285714285715
34 0.9714285714285715
35 0.9785714285714286
36 0.9857142857142858
37 0.9857142857142858
38 0.9857142857142858
39 0.9857142857142858
40 0.9928571428571429
41 1.0
42 1.0
43 1.0
44 1.0
45 0.9857142857142858
46 0.9714285714285715
47 0.9714285714285715
48 0.9714285714285715
49 0.9714285714285715
50 0.9857142857142858
51 0.9800000000000001
52 0.96
53 0.96
54 0.96
55 0.96
56 0.9800000000000001
57 1.0
58 1.0
59 1.0
60 1.0
61 1.0
62 1.0
63 1.0
64 1.0
65 1.0
66 1.0
67 1.0
68 1.0
69 1.0
70 1.0
71 1.0
72 1.0
73 1.0
74 1.0
75 1.0
76 1.0
77 1.0
78 1.0
79 1.0
80 1.0
81 1.0
