i value
1 1.0
2 1.0
3 1.0
4 1.0
5 0.75
6 1.0
7 1.0
8 0.975
9 0.975
10 1.0
11 1.0
12 0.9
13 1.0
14 1.0
15 1.0
16 1.0
17 0.9166666666666667
18 0.9166666666666667
19 0.9375
20 0.9375
21 1.0
22 1.0
23 1.0
24 1.0
25 1.0
26 0.9
27 1.0
28 1.0
29 1.0
30 0.9285714285714286
31 0.9285714285714286
32 1.0
33 1.0
34 1.0
35 0.9642857142857143
36 0.9642857142857143
37 1.0
38 1.0
39 1.0
40 1.0
41 1.0
42 1.0
43 1.0
44 1.0
45 0.9285714285714286
46 0.9285714285714286
47 1.0
48 1.0
49 1.0
50 1.0
51 0.9
52 0.9
53 1.0
54 1.0
55 1.0
56 1.0
57 1.0
58 1.0
59 1.0
60 1.0
61 1.0
62 1.0
63 1.0
64 1.0
65 1.0
66 1.0
67 1.0
68 1.0
69 1.0
70 1.0
71 1.0
72 1.0
73 1.0
74 1.0
75 1.0
76 1.0
77 1.0
78 1.0
79 1.0
80 1.0
81 1.0
