i value
5 488.42849386666677
6 492.42952380000014
7 521.0730571500001
8 521.0730571500001
9 521.0730571500001
10 521.0730571500001
11 521.0730571500001
12 447.34155282500006
13 429.7888069083332
14 395.1455938416664
15 370.6723372666664
16 360.9507330849997
17 355.0092760533334
18 351.30023393666704
19 347.56317127476234
20 344.02136444785754
21 342.5468304028575
22 341.2116746800002
23 347.82552081000006
24 352.487050917143
25 356.6178524157142
26 351.69934165626984
27 357.0330747941269
28 360.69552400579346
29 375.4780082522221
30 369.6491410555555
31 369.60250443333297
32 365.6077743976187
33 364.8902774452378
34 353.0230209352379
35 352.6554437572893
36 358.3817882393406
37 364.7624425650551
38 365.44049573576956
39 364.28719864076936
40 366.80208921871804
41 371.205189811667
42 368.681666996667
43 359.2034479366668
44 355.15365179523826
45 353.6791667238098
46 343.95894642380966
47 344.1048765938098
48 349.98601658523876
49 347.5166429614296
50 345.84261440785843
51 345.49582342452504
52 341.92593697952486
53 343.24849228809586
54 349.13003509444457
55 350.4045187972216
56 348.69544629722105
57 344.05558644722095
58 340.3107911793639
59 343.59092212539554
60 351.53177750714195
61 358.39021380000014
62 361.3358662464292
63 361.62336318571477
64 359.16807331857206
65 352.432090690715
66 347.6695352728573
67 348.18725990392807
68 348.6914331034088
69 343.2664570205517
70 341.63223382063086
71 351.21476714285274
72 359.14148889392374
73 357.8098736372999
74 359.0848247825379
75 362.63796112460204
76 351.5849693107133
77 345.29178987214254
78 347.62025282071465
79 345.29525076119126
80 344.1112742254765
81 348.93077838579404
