i value
1 511.287615
2 468.015365
3 467.8189789999999
4 453.3375240000002
5 541.6829863333338
6 531.2927646666667
7 611.23303175
8 432.1237951666666
9 520.0799710000003
10 484.386742166667
11 418.18931633333375
12 381.92793945833245
13 344.36006558333276
14 346.8639056666661
15 362.0204592916669
16 369.5812954250003
17 352.220654300001
18 325.8148550000009
19 328.17859235714263
20 344.31142515714276
21 362.20862520000026
22 345.54487568571466
23 358.88408565000015
24 351.4862428928571
25 364.9654326499989
26 337.6160714027783
27 372.213541375
28 377.19633170833305
29 425.3986641250001
30 335.821096666666
31 337.38288829166584
32 352.2398911964285
33 373.6088469464287
34 366.0623815750005
35 333.9832107769229
36 366.0146107019226
37 384.14316282500084
38 376.99911280000083
39 360.29589609999965
40 346.5576636666663
41 388.0301136666675
42 371.5255487500007
43 329.6080175
44 340.0469153928568
45 339.18523830952387
46 339.4290121666669
47 372.25519960000156
48 359.01371745714465
49 327.7000472738111
50 330.81509554166803
51 337.69505725
52 354.4057673750006
53 365.62649399999947
54 357.10776130555473
55 337.1875140555532
56 329.1496947499973
57 331.2064681250001
58 346.902517660714
59 373.508416035713
60 376.8917909642852
61 363.44187621428847
62 345.9347303571452
63 348.340002357142
64 361.2319666999996
65 343.2118778249998
66 339.6290991249998
67 348.5233535124993
68 350.8608683545457
69 334.1070862857138
70 335.0407618253955
71 387.54176573610937
72 388.15696226785417
73 344.2027920714266
74 340.48184201190384
75 352.8064435357163
76 332.2768066666657
77 356.6910650750004
78 355.8451068142872
79 328.8568317142867
80 346.88656085714246
81 356.3743274682533
