i value
5 0.7404617604617604
6 0.7404617604617604
7 0.7404617604617604
8 0.7404617604617604
9 0.7404617604617604
10 0.9208051064671041
11 0.9452949357149535
12 0.9327861797583786
13 0.9314490264278706
14 0.9247292991330575
15 0.9043833337161182
16 0.9043833337161182
17 0.9043833337161182
18 0.9043833337161182
19 0.9043833337161182
20 0.8733333333333334
21 0.8733333333333334
22 0.8733333333333334
23 0.8733333333333334
24 0.8733333333333334
25 1.0
26 1.0
27 1.0
28 1.0
29 1.0
30 1.0
31 1.0
32 1.0
33 1.0
34 1.0
35 1.0
36 1.0
37 1.0
38 1.0
39 1.0
40 1.0
41 1.0
42 1.0
43 1.0
44 1.0
45 1.0
46 1.0
47 1.0
48 1.0
49 1.0
50 1.0
51 1.0
52 1.0
53 1.0
