i value
5 94.08735375935507
6 94.08735375935507
7 94.08735375935507
8 94.08735375935507
9 94.08735375935507
10 45.25880429650383
11 40.848617608915006
12 39.19363593860278
13 38.78186366828599
14 36.877835804441595
15 33.76656260412335
16 33.76656260412335
17 33.76656260412335
18 33.76656260412335
19 33.76656260412335
20 10.183379038908608
21 10.183379038908608
22 10.183379038908608
23 10.183379038908608
24 10.183379038908608
25 5.930483080882122
26 5.7180177127003065
27 5.68743108388878
28 5.9222016618649675
29 5.947145032208107
30 5.916060471150415
31 6.099036928113665
32 6.0175762254571215
33 5.7961068474809325
34 5.7256435766475935
35 5.567548534339903
36 5.279589332896133
37 5.1899401951248665
38 5.231631613243331
39 5.166324460583758
40 5.20834242084017
41 5.1799928063788165
42 5.20772287870205
43 5.192723615162342
44 5.169202380321918
45 5.179779346347561
46 5.213417157063267
47 5.120863700054723
48 5.029036706322526
49 5.0478730432906165
50 4.941116751623943
51 4.868135793486472
52 5.069534122717244
53 5.073053365167382
