i value
1 97.69870615277776
2 87.4237708963675
3 82.31413294560994
4 103.66841689090909
5 99.33174191111107
6 56.721460694136184
7 45.613746378122165
8 41.51854740206474
9 40.74429009791898
10 41.695976910277075
11 34.670527256192045
12 37.33883802656106
13 39.459686050480784
14 31.22415077869699
15 26.13961090868588
16 13.131046815333335
17 11.904746929142867
18 11.591708606074071
19 7.4533547074074065
20 6.836038136585368
21 6.859393045454532
22 5.963359673469394
23 5.461399714285717
24 5.500108627450976
25 5.868154343749994
26 5.79706620454545
27 5.810426529411759
28 6.635252604166659
29 5.624825479166669
30 5.712731538461532
31 6.711948489361705
32 5.4031230161290384
33 5.527905714285717
34 5.272509124999974
35 4.922256326923081
36 5.272152482142856
37 4.954877327272706
38 5.736362804878038
39 4.945973361702112
40 5.132346128205141
41 5.130404409836087
42 5.093527688888874
43 5.661366487179498
44 4.8283671874999925
45 5.185230958333354
46 5.298593463414618
47 4.630760403846152
48 5.202231518518513
49 4.922548872340446
50 4.6514494999999885
51 4.933688672727261
52 5.637752050000012
53 5.219827730769203
