i value
1 248.353021
2 235.80690283333328
3 197.43119449999995
4 201.42735937499992
5 195.165560111111
6 192.95834946153838
7 197.33807650000003
8 195.12510009999988
9 204.42871259999993
10 198.83259099999984
11 193.642737230769
12 198.6643801250002
13 202.73321963636343
14 196.01574610000026
15 199.77066669999914
16 198.5318007777783
17 199.72510840000032
18 200.54758320000036
19 213.2435540999999
20 198.0807639166669
21 198.67828674999964
22 209.62318522222145
23 195.728181818182
24 201.11042080000044
25 195.53721699999952
26 199.49369159999986
27 205.04156499999954
28 209.1889397272733
29 213.38474462500017
30 201.6299332999988
31 204.54703045454517
32 202.67023770000088
33 197.49868066666627
34 197.8347680714287
35 202.77498118181722
36 197.20686736363726
37 198.5846576666647
38 196.26357283333346
39 202.4045521666667
40 198.7577405384621
41 196.94591188888685
42 258.348816600001
43 206.43834400000014
44 194.55234650000057
45 200.19059299999992
46 211.00838749999966
