i value
2 469.03440993333334
3 467.5957462
4 464.02602743333335
5 460.0701605833334
6 462.0673169375001
8 200.41444417142856
9 198.50824494615387
10 200.26643898251763
11 201.81370873636376
12 200.04887026666677
13 202.25772016666673
14 204.4572154999999
15 201.02976127272714
16 203.01696222727264
17 202.69275195454543
18 202.69479579999995
19 215.20312908571407
20 212.4419705357139
21 200.15164102272746
22 196.076975939394
23 238.66605971666638
24 240.5363815500001
25 229.12931085000022
26 230.0804233500002
27 197.45325690909095
28 199.1312486868689
29 198.66274211111147
30 195.1456860416668
31 195.64859390064117
32 194.3499861506406
33 194.802102569444
34 197.56546190277794
35 196.92267715530295
36 193.59618920978983
37 193.85041457342658
38 193.8342341439393
39 194.48399421666608
40 197.05979106666638
41 196.5952847666669
42 194.13072163636332
