i value
2 0.7477777777777778
3 0.7477777777777778
4 0.835018128921087
5 0.835018128921087
6 0.9659684561645661
7 0.9752497863015026
8 0.9797498251557748
9 0.9842498640100471
10 0.9921249320050236
11 1.0
12 0.9891717815069074
13 0.9783435630138149
14 0.9758447433615627
15 0.9733459237093105
16 0.9693478122657071
17 0.9653497008221037
18 0.9702997435618032
19 0.9752497863015026
20 0.9752497863015026
21 0.9752497863015026
22 0.9587496438358377
23 0.9422495013701728
24 0.9451370263016642
25 0.9480245512331555
26 0.9740122756165778
27 1.0
28 1.0
29 0.9891717815069074
30 0.9783435630138149
31 0.9891717815069074
32 1.0
33 0.9826748504110518
34 0.9653497008221037
35 0.9718466319179593
36 0.9783435630138149
37 0.9655465775219781
38 0.9527495920301414
39 0.9763747960150707
40 1.0
41 1.0
42 1.0
43 0.9826748504110518
44 0.9653497008221037
45 0.9826748504110518
46 1.0
47 0.9783435630138149
48 0.9610184134248667
49 0.9653497008221037
50 0.9826748504110518
51 1.0
52 0.9913374252055259
53 0.9826748504110518
54 0.9851498717809015
55 0.9876248931507513
56 0.9764872969864276
57 0.9653497008221037
58 0.9653497008221037
59 0.9653497008221037
60 0.9610184134248667
61 0.9566871260276296
62 0.9566871260276296
63 0.9783435630138149
64 1.0
65 1.0
66 0.9783435630138149
67 0.9566871260276296
68 0.9783435630138149
69 0.9807498337900575
70 0.968374726940809
71 0.968374726940809
72 0.9807498337900575
73 1.0
74 1.0
