i value
1 106.41605127179486
2 95.44054045698005
3 46.949227996268924
4 44.92530212538054
5 27.820457691006435
6 28.90772391762689
7 29.326588702793565
8 33.496890085281336
9 33.16229551011455
10 28.705690602122516
11 28.69127384067601
12 32.07640518666727
13 31.52599412891931
14 28.05706306219632
15 27.51112455270501
16 28.39978943562269
17 28.194058795583366
18 25.120396152940152
19 26.087027965772023
20 31.764670813472357
21 30.980020711470026
22 23.79988914696937
23 24.39516794850894
24 35.66509471915272
25 35.47413133328252
26 35.19786831565771
27 35.899515919504054
28 34.70303936564552
29 31.562863273023908
30 31.475518376624457
31 29.0750922890959
32 30.095708571353367
33 35.253330220332344
34 34.189346838756194
35 26.726689109865823
36 26.690755137302773
37 27.466225445218576
38 27.67338387636088
39 20.621554335177965
40 19.990177626941964
41 28.232988521981373
42 27.948708678459735
43 29.75575595111275
44 30.315183218541353
45 26.46862063851941
46 26.182887071802107
47 30.911973867956313
48 22.891104756236288
49 23.51586040172618
50 27.349995419914794
51 26.66428933359564
52 20.624750389865408
53 21.4284886154931
54 23.747228612034625
55 24.04509166539889
56 29.942499789103117
57 30.039074237556115
58 26.002928949700014
59 25.770896341397368
60 14.52256813555249
61 15.052880981049782
62 23.981168245240568
63 22.122464598585477
64 29.4381087382048
65 29.666569208574884
66 34.13235751712081
67 33.770500090218974
68 19.569897546449262
69 33.204919502478525
70 21.98031780989386
71 28.52576945123203
72 27.022636691822264
73 21.06201567763571
74 23.119111525133516
