i value
2 70.74110278876876
3 70.74110278876876
4 26.02206501802724
5 26.02206501802724
6 2.78627382233185
7 3.0572034613532266
8 3.400495589806297
9 2.9305516406466294
10 2.509451012420796
11 2.7793908273535384
12 2.7100769017923216
13 2.224228126060517
14 2.1545067455623492
15 2.249039711252621
16 2.25151624568964
17 2.2225765408291434
18 2.296094001564663
19 2.5105823101959763
20 2.4336435035869806
21 2.1603138964308597
22 2.172348071529653
23 2.27994740835173
24 2.2267412720138076
25 2.316533196926043
26 2.3710705752322903
27 2.1887656642909232
28 2.3349843712231344
29 2.372253764861769
30 2.4429440545490095
31 2.5174634473057242
32 2.263707706292519
33 2.305572409569161
34 2.3608098401770965
35 2.199313551139219
36 2.147897958963077
37 2.159748501098724
38 2.1485970304220263
39 2.1857001932994296
40 2.1582068635947644
41 2.1101322312571367
42 2.124935986945638
43 2.2671901465640203
44 2.27396669029491
45 2.1480190635625656
46 2.1407396074042144
47 2.1954746592236334
48 2.1884997777601827
49 2.1329580828333095
50 2.1848981779564722
51 2.1503574548002913
52 2.125025994261553
53 2.1458508277647645
54 2.180534940396987
55 2.1959487973247396
56 2.1101582226855036
57 2.1177410911421983
58 2.4974743330986873
59 2.4984970803380255
60 2.138361911617899
