i value
9 0.9050364850513105
10 0.9050364850513105
11 0.9050364850513105
12 0.9050364850513105
13 0.9050364850513105
14 0.9050364850513105
15 0.9808968868875597
16 0.9811894929841243
17 0.9826161027768776
18 0.9826212276420241
19 0.9819185911486841
20 0.9810739555870736
21 0.9810526432633722
22 0.9814124611400254
23 0.9810017844244088
24 0.9812047759190738
25 0.9811182894069408
26 0.9811861363695634
27 0.9820952104368385
28 0.9819341602354055
29 0.9827018616220833
30 0.9821740166365165
31 0.9832341038607637
