i value
1 252.80184528571428
2 259.9214344285715
3 223.36817737500007
4 207.21355281818185
5 278.52224987500017
6 206.14862136363644
7 205.6617351428574
8 204.52580216666624
9 205.3414924545455
10 206.919441
11 202.8227531428573
12 202.5021529166664
13 203.36807581818127
14 202.0448815384611
15 200.87801966666692
16 203.40646157142848
17 204.81426500000023
18 203.76965900000042
19 199.59549046153776
20 199.73013138461494
21 200.59614776923095
22 199.96451960000024
23 265.44344049999927
24 202.11588645454586
