i value
1 507.589135625
2 528.6294240000001
3 488.96117314285715
4 467.3504738181817
5 535.9779942857141
6 430.6370510909093
7 400.9021069375004
8 394.9803924404761
9 429.5538456666663
10 411.4472035714285
11 392.0976979666665
12 414.27067708571485
13 413.95579038571384
14 399.9954017142852
15 414.1752946785721
16 393.3731481000008
17 372.7140335375001
18 345.7264834499996
19 386.38405629999977
20 401.70730957500234
21 387.6643855625023
22 418.3389052874996
23 406.166638314285
24 398.92024888095136
25 385.38954544444357
26 416.3172482777787
27 426.0246580833339
28 390.415205083333
29 387.65617193749995
30 359.19829706250084
31 369.9869873125008
