i value
1 94.9404819264069
2 69.72205062323229
3 85.12442887777776
4 90.30689518194445
5 81.21864297453705
6 53.78237053254162
7 50.76556745459092
8 49.09158677933408
9 40.14439187197657
10 36.542496134779455
11 8.528827259259256
12 8.632334468749997
13 8.721363
14 8.189322958333337
15 7.975531321428575
16 7.5176912592592595
17 8.661027137931034
18 7.885086999999999
19 7.526127656250004
20 7.2372170416666775
21 6.8363518148148215
22 7.962726434782603
23 7.935782407407398
24 7.655300826086936
25 8.363498678571432
26 7.608587450000016
27 7.01672506666666
28 7.198683592592585
29 7.27802589655175
30 6.327985258064495
31 5.734373676470602
32 8.313831583333348
33 6.665372266666676
34 6.476648809523779
35 10.330801680000022
36 5.7743461794871775
37 5.399303769230775
38 6.362703465116264
39 5.248191136363622
40 6.152812575000024
41 5.706310139534908
42 5.644235596153836
43 5.663667489795921
44 5.461245666666646
45 5.904568968750006
46 6.4574445277777635
47 5.216317166666664
48 5.811166608695673
49 6.164206055555622
50 5.474814833333337
51 5.754167636363625
52 6.035019292682924
53 5.184406305555551
54 5.672303305555563
55 5.627158555555557
56 6.185792941176474
57 5.33855799999998
58 5.342840361111125
59 5.673776958333311
60 5.992944520833357
61 5.581060194444408
62 5.2604687307692455
63 5.524442718749995
64 5.544011794871815
65 5.71824316326528
66 6.364817540540534
67 5.047955580645158
68 5.712244666666656
69 5.13745451162793
70 5.040827472222229
71 4.4067639444444415
72 5.42190884375006
73 5.443984509803889
